record,name,year,debut,region,team,pos,gp,k
------x----,Chippys,2017,2017,OCE,Dire Wolves,Top,5,16
------x----,Condi,2017,2017,CN,Team WE,Jungle,22,33
------x----,Contractz,2017,2017,NA,Cloud9,Jungle,18,36
------x----,Cuzz,2017,2017,KR,Longzhu Gaming,Jungle,9,15
------x----,Dara,2017,2017,LJL,Rampage,Support,4,0
------x----,Edger,2017,2017,BRL,Team oNe eSports,Top,9,14
------x----,Frozen,2017,2017,TRK,Fenerbahçe Esports,Middle,15,41
------x----,Genthix,2017,2017,LAM,Lyon Gaming,Support,7,0
------x----,GodKwai,2017,2017,PCS,Hong Kong Attitude,Jungle,7,9
------x----,Japone,2017,2017,TRK,Fenerbahçe Esports,Support,15,4
------x----,Jirall,2017,2017,LAM,Lyon Gaming,Top,7,11
------x----,MANTARRAYA,2017,2017,LAM,Kaos Latin Gamers,Top,4,5
------x----,Marfz,2017,2017,BRL,Team oNe eSports,Middle,5,14
------x----,Maxlore,2017,2017,EU,Misfits Gaming,Jungle,12,17
------x----,Mystic,2017,2017,CN,Team WE,ADC,22,84
------x----,Nevan,2017,2017,VNM,GAM Esports,Support,3,1
------x----,Noway,2017,2017,VNM,GAM Esports,ADC,7,28
